 ,Is your character male?,Is your character from the village hidden in stone?,Is your character from the village hidden in mist?,Is your character from the village hidden in leaf?,Is your character from the village hidden in sand?,Is your character from the village hidden in cloud?,Is your character from any of the 5 hidden villages?,Does your character possess bloodline limit?,Does your character have visual prowess?,Can your character do genjutsu?,Has your character been a member in akatsuki?,Is he/she a jinchuriki?,Is his/her highest rank jounin?,Is his/her highest rank chunnin?,Is his/her highest rank genin?,Is taijutsu your character's speciality?,Has your character ever been a kage?,Is he/she dead?,Is he/she old?,Can your character do summoning?,Was your character some kage's disciple?,Was your character some kage's sensei?,Is your character's hair color white?,Is your character's hair color red?,Is your character's hair color yellow?,Is your character's hair color black?,Is your character bad?,Is your character one of the legendary sennin?,Has your character ever been a teacher to anyone?,Is your character one of the 7 swordsmen of bloody mist?,Does your character have a scar on face?,Is your character known for eyebrows?,Does your character possess byakugan?,Is your character fat?,Is he from the 'ino-shika-chou' trio?,Can your character use the element fire?,Can your character use the element lightning?,Can your character use the element earth?,Can your character use the element water?,Can your character use the element wind?,Does your character summon frogs?,Does your character summon weapons?,Does your character summons slugs?,Does your character summon snakes?,Is your character a puppet jutsu user,Is your character among the 12 guardian ninjas?,Does your character wear glasses?,Can your character use element wood?,Does your character use scythe?,Does your character have many hearts?,Can your character do medical ninjutsu?,Does your character have blue clothes on ?,Does your character possess kekkei tota?,Does your character wear mask?,Does your character know senjutsu?,Does your character use insects?,Is your character not a human?,Is your character a summon?,Is your character a biju?,Is your character linked to dogs?,Is your character related to monkeys?,Does your character hide face?,Does your character possess rinnegan(at any point of time)?,Does your character possess Sharingan(at any point of time)?,Does your character use explosives?,Did your character kill his entire clan?,Does your character use sand?,Is your character related to root?,Does your character draw paintings?
Naruto,16,2,2,10,3,2,1,3,5,2,8,5,11,2,6,3,9,17,6,17,9,7,15,3,5,18,5,1,16,1,1,1,1,1,1,12,4,3,6,9,6,1,3,1,1,1,1,2,1,1,9,1,1,1,11,1,5,1,1,1,1,1,1,1,1,1,1,1,1
sasuke,1,1,1,1,1,1,1,3,5,7,5,2,5,1,3,1,1,8,1,8,5,1,1,1,1,8,4,1,5,1,2,1,1,1,1,7,4,5,3,2,1,2,1,4,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,5,1,3,1,1,1
Kakashi,1,1,1,1,1,1,2,1,5,4,4,1,1,1,1,1,8,8,5,11,7,3,5,1,1,11,3,1,7,1,3,1,1,1,1,9,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1
Jiraiya,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,3,3,1,4,2,2,1,2,2,4,1,1,3,1,1,1,1,1,1,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hashirama senju,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,2,4,2,4,2,2,2,1,1,4,3,1,3,1,1,1,1,1,1,4,1,3,4,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Uchiha Madara,1,1,1,1,1,1,1,2,3,3,4,1,4,1,3,1,2,4,1,4,3,1,1,1,1,5,3,1,3,1,2,1,1,1,1,3,1,1,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1
orochimaru,3,1,1,1,1,1,1,1,6,6,2,1,1,1,1,1,3,6,2,6,2,1,1,1,1,6,4,2,6,1,2,1,1,1,1,6,2,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
Hinata Hyuga,4,1,1,3,1,1,1,2,3,1,2,1,4,1,1,2,1,3,1,4,1,1,1,2,2,4,1,1,4,1,1,1,2,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tsunade,8,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,6,7,4,8,6,2,1,1,6,8,1,2,7,1,1,1,1,1,1,5,2,1,2,2,2,1,3,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sakura Haruno,5,1,1,4,1,1,1,1,3,1,1,1,1,1,1,2,5,5,3,6,5,1,1,3,4,6,1,1,4,1,1,1,1,1,1,4,1,1,2,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maito Gai,4,2,2,2,2,2,1,1,3,3,2,1,1,1,2,4,2,4,2,4,3,2,1,1,1,4,1,1,4,2,1,3,1,1,2,3,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,1,4,1,1,1,2,3,1,2
Shikamaru Nara,4,1,1,2,1,1,1,1,2,1,3,2,3,1,1,4,1,4,1,4,1,1,2,1,1,4,1,1,4,1,2,4,3,1,4,2,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,2
Ino Yamanaka,4,1,1,3,1,1,1,1,2,1,1,1,3,1,1,2,2,3,1,4,4,1,1,2,3,5,1,1,4,1,1,1,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chouji,4,1,1,4,1,2,2,1,4,1,1,2,5,2,1,5,2,4,1,5,1,1,1,1,3,5,1,1,5,1,2,4,1,3,4,1,1,1,3,1,1,1,2,1,2,1,2,2,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1
Shino Aburame,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1
